"metric","stage","sites","range","tau5","tau","tau95","p","dispersion","area","speciesN"
"gcell","Lopingian",10,1.36656603884898,0.275030562740983,0.339655752521317,0.386179806595705,9.846841811232e-07,919.715755415681,6818.48979849024,123
"gcell","Lopingian",15,1.42732309425962,0.309633200268846,0.365265500669564,0.416267967941931,1.01484457862524e-07,919.715755415681,6818.48979849024,123
"gcell","Lopingian",20,1.46923390340535,0.334372447006876,0.374811135961541,0.415684218123586,3.66064244241689e-08,919.715755415681,6818.48979849024,123
"gcell","Guadalupian",3,1.35510311379801,0.239367619034014,0.308633094985016,0.378935876752768,2.71794405827296e-07,3410.7672108729,51482.7589583706,170
"gcell","Guadalupian",5,1.524371230055,0.317956786763913,0.369908393461199,0.425384531055929,2.03713432521904e-10,3410.7672108729,51482.7589583706,170
"gcell","Guadalupian",7,1.62691066163237,0.375867448939423,0.414402375120806,0.45779847605969,3.63079886457428e-13,3410.7672108729,51482.7589583706,170
"gcell","Guadalupian",10,1.72570227376499,0.406062281162499,0.442888490185814,0.479216082076955,3.22843682969762e-15,3410.7672108729,51482.7589583706,170
"gcell","Guadalupian",15,1.82319334519459,0.429323504136988,0.466090779332496,0.501487212660465,5.52691182740598e-17,3410.7672108729,51482.7589583706,170
"gcell","Guadalupian",20,1.88825291432813,0.451119378994878,0.484176803799202,0.508839812330123,2.07643329141198e-18,3410.7672108729,51482.7589583706,170
"gcell","Meramecian",3,1.41073970734872,0.221994433207666,0.330938675687729,0.428035852201466,0.000103227497944369,4673.4046674481,44242.0861145043,85
"gcell","Meramecian",5,1.61329788549804,0.330456781059935,0.40494196450836,0.465860291694203,7.13560491702709e-07,4673.4046674481,44242.0861145043,85
"gcell","Meramecian",7,1.74399761773084,0.356887556227361,0.42588727992885,0.494633011666288,1.18590772249008e-07,4673.4046674481,44242.0861145043,85
"gcell","Meramecian",10,1.86422954558599,0.403434009949152,0.443021072942746,0.493777645114348,2.42215858548594e-08,4673.4046674481,44242.0861145043,85
"gcell","Meramecian",15,1.97713008702552,0.426504268760985,0.467023708232675,0.507752296638391,3.55015083891138e-09,4673.4046674481,44242.0861145043,85
"gcell","Meramecian",20,2.04448806498789,0.43243615292293,0.475366400998332,0.519920880948096,1.55230559944347e-09,4673.4046674481,44242.0861145043,85
