"metric","stage","sites","range","tau5","tau","tau95","p","dispersion","area","speciesN"
"gcd","Wolfcampian",1097,6.67113018262411,0.596354468024556,0.596354468024556,0.596354468024556,1.29275004551373e-38,5640.07726505589,51463.6934721114,237
"gcd","Osagean",7,6.68705756569666,0.338497735059737,0.472878023196419,0.623432082004669,3.39568879990127e-09,5985.73607934559,50409.543630228,166
"gcd","Osagean",20,6.64780622500376,0.367099619085713,0.431645648039848,0.488658913508679,5.6663521219962e-12,5985.73607934559,50409.543630228,166
"gcd","Osagean",55,6.68688575314768,0.397756717876235,0.439792103181411,0.483591172567702,1.21796413759828e-14,5985.73607934559,50409.543630228,166
"gcd","Osagean",148,6.7111583578222,0.414072302807996,0.435596396553937,0.455868988884564,1.3394781684417e-15,5985.73607934559,50409.543630228,166
"gcd","Osagean",403,6.74886933723407,0.433898416545156,0.438323634909101,0.447772722173716,4.15966424398313e-16,5985.73607934559,50409.543630228,166
"gcd","Osagean",1097,6.75305159722333,0.438323634909101,0.438323634909101,0.438323634909101,4.15966424398313e-16,5985.73607934559,50409.543630228,166
"gcd","Virgilian",7,6.80265105639114,0.342546655199987,0.447356847659324,0.562101529320819,7.53570870983636e-09,6201.5547605201,112514.851625785,216
"gcd","Virgilian",20,6.6574410138482,0.408634485702325,0.491613022011154,0.556309929665615,1.13520333120488e-17,6201.5547605201,112514.851625785,216
"gcd","Virgilian",55,6.72447086396337,0.468748288020845,0.531037038457383,0.566907697209625,1.14928801096901e-25,6201.5547605201,112514.851625785,216
"gcd","Virgilian",148,6.72615367455461,0.537133274838784,0.561491171593896,0.586205073719119,3.65972977682436e-32,6201.5547605201,112514.851625785,216
"gcd","Virgilian",403,6.74855629761217,0.56634599206368,0.580770255051196,0.591341738190218,8.60492953572873e-36,6201.5547605201,112514.851625785,216
"gcd","Virgilian",1097,6.75297849526351,0.583644170006766,0.58364574614462,0.58364574614462,2.67052547198028e-36,6201.5547605201,112514.851625785,216
"gcd","Morrowan",7,6.85998357206385,0.314339817602013,0.427733140453316,0.568035136129415,1.37258355231911e-06,6853.98707473175,94673.2986955261,183
"gcd","Morrowan",20,6.91257273816564,0.337218833404243,0.44238761756416,0.573310346775255,6.59000918454712e-10,6853.98707473175,94673.2986955261,183
"gcd","Morrowan",55,6.79121693613244,0.396087196841209,0.494326002982058,0.557650936901809,3.06281238847791e-16,6853.98707473175,94673.2986955261,183
"gcd","Morrowan",148,6.67688342686176,0.460108727847632,0.498779582014785,0.529077436569518,1.08456585356226e-19,6853.98707473175,94673.2986955261,183
"gcd","Morrowan",403,6.64606082650104,0.470970612265615,0.508764919557229,0.522369709242157,1.35552237584711e-22,6853.98707473175,94673.2986955261,183
"gcd","Morrowan",1097,6.64960494261873,0.508387906437344,0.508387906437344,0.509070322255833,1.15195301044166e-22,6853.98707473175,94673.2986955261,183
"gcd","Missourian",7,6.81403968979413,0.336777710705588,0.461669458020799,0.574516037088952,1.1321174047544e-08,6958.23333869135,148350.056294045,202
"gcd","Missourian",20,6.66036464778408,0.385257514834624,0.46231052542829,0.538281085965843,2.25612930531604e-14,6958.23333869135,148350.056294045,202
"gcd","Missourian",55,6.71026865251732,0.429285631119343,0.484553740176254,0.523180357332827,1.99557444196558e-20,6958.23333869135,148350.056294045,202
"gcd","Missourian",148,6.75045274479916,0.479457842671625,0.507735672576749,0.533163291093986,2.94414824887974e-24,6958.23333869135,148350.056294045,202
"gcd","Missourian",403,6.74974721644053,0.507035956732284,0.520503254078624,0.531919741250252,5.46456563140286e-27,6958.23333869135,148350.056294045,202
"gcd","Missourian",1097,6.74310585736396,0.520687075078503,0.52100277160247,0.521933822812504,3.21689163315747e-27,6958.23333869135,148350.056294045,202
"gcd","Desmoinesian",7,6.76848334664234,0.355239303615533,0.459348740147546,0.571668534774089,6.87922166931357e-08,8223.55019875379,204216.725025965,204
"gcd","Desmoinesian",20,6.65236720967714,0.368620932118223,0.444691954995607,0.556617025314343,5.24454397203254e-13,8223.55019875379,204216.725025965,204
"gcd","Desmoinesian",55,6.66761209335595,0.414517589505787,0.461120613371448,0.508000568579304,7.13562944455061e-18,8223.55019875379,204216.725025965,204
"gcd","Desmoinesian",148,6.70994855545484,0.459102401829765,0.484850707624846,0.513652732850581,4.83624386201908e-22,8223.55019875379,204216.725025965,204
"gcd","Desmoinesian",403,6.69277673834509,0.486724172779304,0.504372768116125,0.518911753792606,3.01158943819089e-25,8223.55019875379,204216.725025965,204
"gcd","Desmoinesian",1097,6.67682201016106,0.507253272345184,0.51389287262158,0.515319992845944,1.13100797182169e-26,8223.55019875379,204216.725025965,204
"gcd","Atokan",7,6.885422659029,0.322938853358061,0.451607091950078,0.589231367403374,9.46060390344125e-08,8561.33380655695,114346.681376788,194
"gcd","Atokan",20,6.86119915937612,0.362987179928038,0.467379472994138,0.562448679377801,9.2877771934652e-13,8561.33380655695,114346.681376788,194
"gcd","Atokan",55,6.77873239569882,0.417627800923567,0.483063497203245,0.548240963147013,1.52702106173358e-18,8561.33380655695,114346.681376788,194
"gcd","Atokan",148,6.72913276821701,0.471470625502717,0.50591415068208,0.539040522764622,5.79676785829357e-23,8561.33380655695,114346.681376788,194
"gcd","Atokan",403,6.71719802768996,0.493762847715359,0.506373472844688,0.521742851597498,1.72123994747122e-24,8561.33380655695,114346.681376788,194
"gcd","Atokan",1097,6.72699404687958,0.505293568266126,0.505521640289717,0.50675247970176,1.86899102152611e-24,8561.33380655695,114346.681376788,194
"gcell","Lopingian",7,1.83794079701354,0.230099623124757,0.293134203118764,0.432098353535521,3.2506782495943e-05,919.715755415681,6818.48979849024,123
