"species","chull","latrange","gcd","gcell"
"Sigmodon_fulviventer",82040.14504,4.67703381,706.8593535,8
"Sigmodon_hispidus",2532291.358,15.98900784,3591.010116,50
"Sigmodon_ochrognathus",93491.35087,4.9340532,967.4721062,6
"Sorex_arcticus",641045.6305,7.0989266,1707.262555,16
"Sorex_arizonae",34101.26837,1.30043459,326.5516989,4
"Sorex_bairdi",35534.83032,1.5798,292.2978477,2
"Sorex_bendirii",201678.9215,10.43505841,1167.969242,9
"Sorex_cinereus",3167906.314,14.78772241,4209.811338,63
"Sorex_dispar",286339.3837,11.2455,1766.165213,14
"Sorex_fumeus",872515.1006,13.09885041,2006.901958,22
"Sorex_haydeni",934200.1352,9.54685141,1524.963683,19
"Sorex_hoyi",1114301.251,14.77422241,3949.420698,37
"Sorex_longirostris",1642694.236,14.3397,1831.555989,29
"Sorex_lyelli",3091.121915,1.0769,127.7190539,1
"Sorex_merriami",1799548.481,15.96228644,2017.214172,36
"Sorex_monticolus",1070116.637,17.669667,2300.393696,39
"Sorex_nanus",997400.7011,16.6962,1922.527894,21
"Sorex_neomexicanus",13600.07005,1.5951,177.7507464,1
"Sorex_ornatus",166125.9319,7.32855423,948.094625,7
"Sorex_pacificus",58250.54253,4.6525,538.2196547,4
"Sorex_palustris",2298136.423,16.31552241,4584.202911,54
"Sorex_preblei",670355.8236,8.76555097,1465.861265,14
"Sorex_rohweri",23838.0373,3.18181841,367.9103494,4
"Sorex_sonomae",143214.4415,7.86940003,884.2254108,6
"Sorex_tenellus",65720.58194,3.11160278,439.0542863,2
"Sorex_trowbridgii",367932.8076,14.72395841,1664.643801,15
"Sorex_vagrans",852125.748,12.39065841,1487.330414,24
"Spilogale_gracilis",2774026.939,22.26712646,3263.273141,51
"Spilogale_putorius",2947771.725,24.38509132,3189.647556,59
"Sylvilagus_aquaticus",881763.2356,9.6466,1584.63981,19
"Sylvilagus_audubonii",2527020.72,22.37338259,2798.793524,49
"Sylvilagus_bachmani",282742.0386,13.65505423,1649.334263,11
"Sylvilagus_cognatus",4085.89736,1.0653,120.1958254,1
"Sylvilagus_floridanus",4862317.974,24.41712688,4412.774982,88
"Sylvilagus_nuttallii",1965352.652,15.31899641,1910.75722,38
"Sylvilagus_obscurus",94341.50358,8.0463,1290.540167,8
"Sylvilagus_palustris",358334.3885,12.64909461,1478.254734,12
"Sylvilagus_robustus",24695.36431,3.39484873,414.1620829,3
"Sylvilagus_transitionalis",21038.55784,3.12366313,465.9918152,5
"Synaptomys_borealis",187826.4942,6.18052241,4149.43504,9
"Synaptomys_cooperi",2084113.467,14.70702241,3012.199289,44
"Tadarida_brasiliensis",3671831.521,19.2523526,4464.952148,67
"Tamias_striatus",2967359.663,19.48272241,2814.208129,55
"Tamiasciurus_douglasii",437970.7813,13.50955841,1541.457102,14
"Tamiasciurus_hudsonicus",2921101.281,17.08252241,4130.414136,69
"Taxidea_taxus",5688185.995,23.546981,4075.256738,91
"Thomomys_bottae",1193238.616,13.98736161,2516.655266,28
"Thomomys_bulbivorus",6146.673511,1.5278,171.3521379,2
"Thomomys_clusius",7446.156472,0.6708,151.0030505,2
"Thomomys_idahoensis",106354.1289,4.9831,653.4031248,5
"Thomomys_mazama",79543.42211,7.7521,863.1712534,6
"Thomomys_monticola",52698.872,4.6896,573.3396848,5
"Thomomys_talpoides",1932307.797,15.40177641,2208.225327,40
"Thomomys_townsendii",113167.5063,5.1846,774.1320025,9
"Thomomys_umbrinus",32250.95611,1.47821978,559.6299494,4
"Urocitellus_armatus",176252.6558,7.4847,832.4791132,8
"Urocitellus_beldingi",337682.8081,9.2391,1028.671502,11
"Urocitellus_brunneus",1286.78911,1.1254,125.7221197,1
"Urocitellus_canus",217792.0882,4.8021,660.2797026,5
"Urocitellus_columbianus",299641.2161,5.84145441,842.3159131,10
"Urocitellus_elegans",282623.001,7.4762,1112.800877,12
"Urocitellus_mollis",421287.8956,10.4312,1284.050864,10
"Urocitellus_richardsonii",381036.1447,5.44079641,1560.297453,11
"Urocitellus_townsendii",11274.7307,1.1767,144.9501076,2
